street_name,avgdist_nearestMRT
GLOUCESTER RD,0.326667024
HAIG RD,0.786664759
HAVELOCK RD,0.495051824
HENDERSON CRES,0.554400875
HENDERSON RD,0.585680834
HILLVIEW AVE,0.4741466
HO CHING RD,1.150834431
HOLLAND AVE,0.352116204
HOLLAND CL,0.416328624
HOLLAND DR,0.373190073
HOUGANG AVE 1,0.813118606
HOUGANG AVE 10,0.506201614
HOUGANG AVE 2,0.685454605
HOUGANG AVE 3,0.761205757
HOUGANG AVE 4,0.873981855
HOUGANG AVE 5,0.590028505
HOUGANG AVE 6,0.438506352
HOUGANG AVE 7,0.720106351
HOUGANG AVE 8,0.936892689
HOUGANG AVE 9,1.501500828
HOUGANG CTRL,0.24952137
HOUGANG ST 11,0.7669471
HOUGANG ST 21,0.414218675
HOUGANG ST 22,0.760549106
HOUGANG ST 31,0.617611477
HOUGANG ST 51,0.610621668
HOUGANG ST 52,0.693290054
HOUGANG ST 61,0.855343231
HOUGANG ST 91,1.328720052
HOUGANG ST 92,1.402312673
HOY FATT RD,0.70191929
HU CHING RD,1.147545101
INDUS RD,0.5629701
JELAPANG RD,0.964089636
JELEBU RD,0.20577251
JELLICOE RD,0.186490766
JLN BAHAGIA,0.83022599
JLN BATU,0.447447942
JLN BERSEH,0.621783805
JLN BT HO SWEE,0.377933451
JLN BT MERAH,0.876739078
JLN DAMAI,1.4686655
JLN DUA,0.125060796
JLN DUSUN,0.603536821
JLN KAYU,2.369918295
JLN KLINIK,0.247595432
JLN KUKOH,0.639097569
JLN MA'MOR,1.054075431
JLN MEMBINA,0.354878207
JLN MEMBINA BARAT,0.293363028
JLN PASAR BARU,0.606898142
JLN RAJAH,0.940064418
JLN RUMAH TINGGI,0.786756527
JLN TECK WHYE,0.710166445
JLN TENAGA,1.471671694
JLN TENTERAM,0.920165224
JLN TIGA,0.367251448
JOO CHIAT RD,0.673162538
JOO SENG RD,0.768740776
JURONG EAST AVE 1,0.89114951
JURONG EAST ST 13,0.568113033
JURONG EAST ST 21,0.624429362
JURONG EAST ST 24,0.867587518
JURONG EAST ST 31,0.708778376
JURONG EAST ST 32,0.460094981
JURONG WEST AVE 1,0.87893055
JURONG WEST AVE 3,1.527053219
JURONG WEST AVE 5,0.885435198
JURONG WEST CTRL 1,0.4877881
JURONG WEST ST 24,1.336591984
JURONG WEST ST 25,1.638110434
JURONG WEST ST 41,0.622026358
JURONG WEST ST 42,1.048803654
JURONG WEST ST 51,0.645664064
JURONG WEST ST 52,0.476905442
JURONG WEST ST 61,0.249715096
JURONG WEST ST 62,0.426025342
JURONG WEST ST 64,0.448241027
JURONG WEST ST 65,0.55201187
JURONG WEST ST 71,0.626358895
JURONG WEST ST 72,0.948001376
JURONG WEST ST 73,1.102748719
JURONG WEST ST 74,1.348953179
JURONG WEST ST 75,0.984297115
JURONG WEST ST 81,1.031350272
JURONG WEST ST 91,1.119001789
JURONG WEST ST 92,0.927623092
JURONG WEST ST 93,0.39532348
KALLANG BAHRU,0.799449587
KANG CHING RD,0.531869658
KELANTAN RD,0.534602038
KENT RD,0.592230651
KG ARANG RD,0.644818525
KG BAHRU HILL,1.016301033
KG KAYU RD,0.322141417
KIM CHENG ST,0.551325977
KIM KEAT AVE,1.18085249
KIM KEAT LINK,1.100531128
KIM PONG RD,0.415368805
KIM TIAN PL,0.360366547
KIM TIAN RD,0.537728211
KING GEORGE'S AVE,0.282605092
KLANG LANE,0.412622854
KRETA AYER RD,0.298304437
LENGKOK BAHRU,0.470361816
LENGKONG TIGA,0.447850436
LIM CHU KANG RD,5.491506824
LIM LIAK ST,0.479735887
LOMPANG RD,0.345338296
LOR 1 TOA PAYOH,0.319760398
LOR 2 TOA PAYOH,0.212500207
LOR 3 GEYLANG,0.247261043
LOR 3 TOA PAYOH,0.287946886
LOR 4 TOA PAYOH,0.488359163
LOR 5 TOA PAYOH,0.801638353
LOR 6 TOA PAYOH,0.705861971
LOR 7 TOA PAYOH,1.125347848
LOR 8 TOA PAYOH,1.070559709
LOR AH SOO,0.973721273
LOR LEW LIAN,0.385706073
LOR LIMAU,0.975799334
LOWER DELTA RD,0.370371306
MACPHERSON LANE,0.457319671
MARGARET DR,0.539575473
MARINE CRES,1.892513776
MARINE DR,1.95206802
MARINE PARADE CTRL,2.020567996
MARINE TER,1.850224727
MARSILING CRES,1.567795316
MARSILING DR,1.13720315
MARSILING LANE,1.224953309
MARSILING RD,0.663103579
MARSILING RISE,0.791524237
MCNAIR RD,0.450397055
MEI LING ST,0.372696436
MOH GUAN TER,0.482323595
MONTREAL DR,0.485108416
MOULMEIN RD,0.805092428
NEW MKT RD,0.190940368
NEW UPP CHANGI RD,0.604238168
NTH BRIDGE RD,0.279009928
OLD AIRPORT RD,0.111689275
OUTRAM HILL,0.627847344
OUTRAM PK,0.634124762
OWEN RD,0.567595677
PANDAN GDNS,1.667153167
PASIR RIS DR 1,0.857870136
PASIR RIS DR 10,1.470040116
PASIR RIS DR 3,1.167915797
PASIR RIS DR 4,1.184564748
PASIR RIS DR 6,0.780166523
PASIR RIS ST 11,1.140692057
PASIR RIS ST 12,1.231907564
PASIR RIS ST 13,1.832473898
PASIR RIS ST 21,1.520677671
PASIR RIS ST 41,0.981706611
PASIR RIS ST 51,0.601193575
PASIR RIS ST 52,0.608136984
PASIR RIS ST 53,0.363869806
PASIR RIS ST 71,1.626600948
PASIR RIS ST 72,1.702023314
PAYA LEBAR WAY,0.619288463
PENDING RD,0.857957293
PETIR RD,0.920441727
PINE CL,0.226229236
PIPIT RD,0.429281971
POTONG PASIR AVE 1,0.606771933
POTONG PASIR AVE 2,0.384750376
POTONG PASIR AVE 3,0.413614032
PUNGGOL CTRL,1.177085453
PUNGGOL DR,1.452785725
PUNGGOL EAST,1.795316172
PUNGGOL FIELD,0.904616741
PUNGGOL FIELD WALK,1.724790338
PUNGGOL PL,0.365630909
PUNGGOL RD,0.611266772
QUEEN ST,0.251074908
QUEEN'S CL,0.707742131
QUEEN'S RD,0.165090124
QUEENSWAY,0.782678747
RACE COURSE RD,0.241807822
REDHILL CL,0.436007547
REDHILL LANE,0.385584018
REDHILL RD,0.172427144
RIVERVALE CRES,1.312886668
RIVERVALE DR,1.040279089
RIVERVALE ST,0.939246155
RIVERVALE WALK,0.869433364
ROCHOR RD,0.221668591
ROWELL RD,0.529017627
SAGO LANE,0.235984388
SAUJANA RD,0.800741433
SEGAR RD,1.586089947
SELEGIE RD,0.260110948
SELETAR WEST FARMWAY 6,2.839123359
SEMBAWANG CL,0.397793825
SEMBAWANG CRES,0.515554519
SEMBAWANG DR,0.589171391
SEMBAWANG RD,2.351898467
SEMBAWANG VISTA,0.301457848
SEMBAWANG WAY,0.180021613
SENG POH RD,0.620947526
SENGKANG CTRL,0.269002104
SENGKANG EAST RD,0.472824523
SENGKANG EAST WAY,0.622932839
SENGKANG WEST AVE,1.947244006
SENJA LINK,1.005479536
SENJA RD,0.800388276
SERANGOON AVE 1,0.443472869
SERANGOON AVE 2,0.42637766
SERANGOON AVE 3,0.45778051
SERANGOON AVE 4,0.763839955
SERANGOON CTRL,0.292115056
SERANGOON CTRL DR,0.430598667
SERANGOON NTH AVE 1,1.815165213
SERANGOON NTH AVE 2,1.500920674
SERANGOON NTH AVE 3,2.189174998
SERANGOON NTH AVE 4,1.910255045
SHORT ST,0.310178801
SHUNFU RD,0.204301479
SILAT AVE,0.83527117
SIMEI LANE,0.57827572
SIMEI RD,0.66282461
SIMEI ST 1,0.418900545
SIMEI ST 2,0.343495145
SIMEI ST 4,0.325962447
SIMEI ST 5,0.19221043
SIMS AVE,0.270634103
SIMS DR,0.635950397
SIMS PL,0.328317364
SIN MING AVE,1.521628478
SIN MING RD,0.778359998
SMITH ST,0.158030539
SPOTTISWOODE PK RD,0.659434804
ST. GEORGE'S LANE,0.418069783
ST. GEORGE'S RD,0.427273904
STIRLING RD,0.541836641
STRATHMORE AVE,0.441611326
TAH CHING RD,0.852991193
TAMAN HO SWEE,0.568020688
TAMPINES AVE 4,1.041561453
